cafe_location,transaction_id,date_time,customer_id,item,item_quantity,net_price
Icee,CAF0021114,10/1/24 9:19,M1152,Cookie,1,2.34
Slushie,CAF0001064,10/1/24 9:20,C5284,Cookie,1,2.75
Icee,CAF0001064,10/1/24 9:20,C5284,Burger,2,10.99
Icee,CAF0019545,10/1/24 9:20,M1112,Cookie,1,2.34
Slurpie,CAF0019545,10/1/24 9:20,M1112,Hot Chocolate,2,3.39
Slushie,CAF0019545,10/1/24 9:20,M1112,Burger,1,9.34
Icee,CAF0021545,10/1/24 9:20,M1163,Breakfast Sandwich,2,6.67
Slushie,CAF0021545,10/1/24 9:20,M1163,Soup,2,5.09
Slurpie,CAF0021545,10/1/24 9:20,M1163,Pizza Slice,2,5.09
Icee,CAF0001808,10/1/24 9:22,C5499,Hot Chocolate,2,3.99
Slushie,CAF0016213,10/1/24 9:22,M1019,Pizza Slice,2,5.09
Slurpie,CAF0002411,10/1/24 9:24,C5684,Burger,2,10.99
Slurpie,CAF0002411,10/1/24 9:24,C5684,Coffee,2,3.99
Slushie,CAF0002411,10/1/24 9:24,C5684,Cookie,2,2.75
Slurpie,CAF0011800,10/1/24 9:27,C8510,Coffee,2,3.99
Slurpie,CAF0011800,10/1/24 9:27,C8510,Burger,1,10.99
Slurpie,CAF0011800,10/1/24 9:27,C8510,Fries,1,4.99
Slurpie,CAF0021811,10/1/24 9:27,M1174,Hot Chocolate,1,3.39
Slurpie,CAF0021811,10/1/24 9:27,M1174,Pizza Slice,2,5.09
Slurpie,CAF0004075,10/1/24 9:28,C6188,Coffee,2,3.99
Icee,CAF0004075,10/1/24 9:28,C6188,Cookie,2,2.75
Slushie,CAF0004075,10/1/24 9:28,C6188,Hot Chocolate,1,3.99
Slurpie,CAF0010841,10/1/24 9:29,C8217,Burger,1,10.99
Slushie,CAF0011952,10/1/24 9:31,C8557,Soda,2,2.99
Slushie,CAF0012774,10/1/24 9:34,C8806,Hot Chocolate,2,3.99
Icee,CAF0012774,10/1/24 9:34,C8806,Breakfast Sandwich,1,7.85
Slushie,CAF0013270,10/1/24 9:34,C8975,Hot Chocolate,1,3.99
Icee,CAF0013270,10/1/24 9:34,C8975,Burger,1,10.99
Slushie,CAF0013270,10/1/24 9:34,C8975,Fries,1,4.99
Icee,CAF0015702,10/1/24 9:35,M1006,Cookie,1,2.34
Icee,CAF0015702,10/1/24 9:35,M1006,Fries,1,4.24
Icee,CAF0023033,10/1/24 9:35,M1206,Pizza Slice,2,5.09
Slurpie,CAF0021544,10/1/24 9:36,M1163,Burger,2,9.34
Slurpie,CAF0021544,10/1/24 9:36,M1163,Pizza Slice,2,5.09
Icee,CAF0004743,10/1/24 9:38,C6391,Soda,2,2.99
Icee,CAF0004743,10/1/24 9:38,C6391,Pizza Slice,1,5.99
Icee,CAF0001234,10/1/24 9:40,C5333,Fries,1,4.99
Slushie,CAF0001234,10/1/24 9:40,C5333,Coffee,1,3.99
Slushie,CAF0001737,10/1/24 9:40,C5477,Coffee,1,3.99
Slurpie,CAF0001737,10/1/24 9:40,C5477,Soda,2,2.99
Icee,CAF0013574,10/1/24 9:41,C9056,Pizza Slice,2,5.99
Slurpie,CAF0013574,10/1/24 9:41,C9056,Hot Chocolate,1,3.99
Slushie,CAF0006125,10/1/24 9:48,C6799,Pizza Slice,2,5.99
Slushie,CAF0015055,10/1/24 9:49,C9480,Coffee,1,3.99
Slushie,CAF0015055,10/1/24 9:49,C9480,Cookie,2,2.75
Slurpie,CAF0008512,10/1/24 9:56,C7529,Soup,1,5.99
Slurpie,CAF0008512,10/1/24 9:56,C7529,Fries,2,4.99
Slushie,CAF0001736,10/1/24 9:59,C5477,Soda,2,2.99
Slushie,CAF0001736,10/1/24 9:59,C5477,Hot Chocolate,2,3.99
Icee,CAF0016812,10/1/24 10:09,M1038,Pizza Slice,1,5.09
Icee,CAF0016812,10/1/24 10:09,M1038,Coffee,1,3.39
Slushie,CAF0014101,10/1/24 10:10,C9201,Fries,2,4.99
Slushie,CAF0014101,10/1/24 10:10,C9201,Coffee,1,3.99
Slurpie,CAF0003395,10/1/24 10:11,C5987,Cookie,2,2.75
Slurpie,CAF0003395,10/1/24 10:11,C5987,Burger,1,10.99
Icee,CAF0003395,10/1/24 10:11,C5987,Soda,2,2.99
Slurpie,CAF0010593,10/1/24 10:15,C8146,Soda,2,2.99
Slurpie,CAF0003780,10/1/24 10:16,C6101,Cookie,2,2.75
Icee,CAF0003780,10/1/24 10:16,C6101,Burger,1,10.99
Icee,CAF0003780,10/1/24 10:16,C6101,Fries,2,4.99
Icee,CAF0002069,10/1/24 10:17,C5572,Pizza Slice,2,5.99
Icee,CAF0002069,10/1/24 10:17,C5572,Soup,1,5.99
Slushie,CAF0004616,10/1/24 10:17,C6347,Cookie,1,2.75
Icee,CAF0004616,10/1/24 10:17,C6347,Fries,2,4.99
Icee,CAF0004566,10/1/24 10:21,C6330,Soup,2,5.99
Slurpie,CAF0004566,10/1/24 10:21,C6330,Coffee,1,3.99
Slurpie,CAF0019089,10/1/24 10:21,M1098,Cookie,2,2.34
Icee,CAF0019089,10/1/24 10:21,M1098,Breakfast Sandwich,1,6.67
Icee,CAF0019089,10/1/24 10:21,M1098,Burger,2,9.34
Slushie,CAF0022930,10/1/24 10:21,M1204,Burger,2,9.34
Slushie,CAF0022930,10/1/24 10:21,M1204,Cookie,1,2.34
Slushie,CAF0023498,10/1/24 10:21,M1217,Fries,1,4.24
Icee,CAF0015594,10/1/24 10:23,M1001,Soup,1,5.09
Slushie,CAF0015594,10/1/24 10:23,M1001,Coffee,2,3.39
Icee,CAF0015594,10/1/24 10:23,M1001,Burger,1,9.34
Slurpie,CAF0016010,10/1/24 10:26,M1014,Coffee,1,3.39
Icee,CAF0016010,10/1/24 10:26,M1014,Soup,2,5.09
Slurpie,CAF0001807,10/1/24 10:32,C5499,Pizza Slice,1,5.99
Icee,CAF0001807,10/1/24 10:32,C5499,Fries,1,4.99
Icee,CAF0000142,10/1/24 10:33,C5031,Hot Chocolate,2,3.99
Slushie,CAF0014008,10/1/24 10:34,C9173,Burger,2,10.99
Slurpie,CAF0014008,10/1/24 10:34,C9173,Fries,1,4.99
Slurpie,CAF0016448,10/1/24 10:34,M1024,Pizza Slice,2,5.09
Slushie,CAF0019794,10/1/24 10:35,M1119,Burger,2,9.34
Icee,CAF0003779,10/1/24 10:39,C6101,Hot Chocolate,2,3.99
Slurpie,CAF0003779,10/1/24 10:39,C6101,Coffee,2,3.99
Slurpie,CAF0003779,10/1/24 10:39,C6101,Soup,2,5.99
Slushie,CAF0016567,10/1/24 10:42,M1030,Pizza Slice,1,5.09
Slushie,CAF0021810,10/1/24 10:43,M1174,Hot Chocolate,2,3.39
Slushie,CAF0021810,10/1/24 10:43,M1174,Soda,2,2.54
Slurpie,CAF0004567,10/1/24 10:45,C6330,Burger,1,10.99
Slurpie,CAF0004567,10/1/24 10:45,C6330,Fries,2,4.99
Slurpie,CAF0004567,10/1/24 10:45,C6330,Soda,2,2.99
Slurpie,CAF0021451,10/1/24 10:46,M1161,Pizza Slice,1,5.09
Slushie,CAF0021451,10/1/24 10:46,M1161,Soup,2,5.09
Icee,CAF0007503,10/1/24 10:48,C7212,Hot Chocolate,1,3.99
Icee,CAF0007503,10/1/24 10:48,C7212,Coffee,2,3.99
Slushie,CAF0007503,10/1/24 10:48,C7212,Burger,2,10.99
Slurpie,CAF0018041,10/1/24 10:49,M1071,Burger,1,9.34
Slushie,CAF0003394,10/1/24 10:51,C5987,Burger,1,10.99
Slurpie,CAF0003394,10/1/24 10:51,C5987,Soda,1,2.99
Slurpie,CAF0003394,10/1/24 10:51,C5987,Coffee,2,3.99
Slushie,CAF0009458,10/1/24 10:51,C7797,Soup,2,5.99
Icee,CAF0021113,10/1/24 10:51,M1152,Hot Chocolate,1,3.39
Icee,CAF0021113,10/1/24 10:51,M1152,Coffee,1,3.39
Slurpie,CAF0021113,10/1/24 10:51,M1152,Burger,2,9.34
Slushie,CAF0019795,10/1/24 10:55,M1119,Soup,2,5.09
Slurpie,CAF0019795,10/1/24 10:55,M1119,Pizza Slice,1,5.09
Slurpie,CAF0019795,10/1/24 10:55,M1119,Cookie,2,2.34
Slushie,CAF0016774,10/1/24 10:57,M1037,Soup,2,5.09
Slurpie,CAF0016774,10/1/24 10:57,M1037,Cookie,1,2.34
Icee,CAF0011124,10/1/24 10:58,C8296,Fries,2,4.99
Slushie,CAF0011124,10/1/24 10:58,C8296,Soda,1,2.99
Slushie,CAF0011124,10/1/24 10:58,C8296,Burger,2,10.99
Icee,CAF0016773,10/1/24 10:58,M1037,Fries,2,4.24
Icee,CAF0016773,10/1/24 10:58,M1037,Breakfast Sandwich,2,6.67
Slushie,CAF0016773,10/1/24 10:58,M1037,Soda,1,2.54
Slurpie,CAF0019546,10/1/24 11:00,M1112,Soda,1,2.54
Icee,CAF0019546,10/1/24 11:00,M1112,Breakfast Sandwich,2,6.67
Slurpie,CAF0000041,10/1/24 11:05,C5011,Coffee,2,3.99
Slurpie,CAF0000041,10/1/24 11:05,C5011,Burger,1,10.99
Icee,CAF0000041,10/1/24 11:05,C5011,Soda,1,2.99
Slurpie,CAF0023034,10/1/24 11:05,M1206,Coffee,1,3.39
Slushie,CAF0018197,10/1/24 11:07,M1075,Fries,2,4.24
Slurpie,CAF0018197,10/1/24 11:07,M1075,Breakfast Sandwich,1,6.67
Slushie,CAF0018197,10/1/24 11:07,M1075,Coffee,1,3.39
Slushie,CAF0018238,10/1/24 11:12,M1076,Breakfast Sandwich,1,6.67
Slurpie,CAF0018238,10/1/24 11:12,M1076,Soda,1,2.54
Slurpie,CAF0018238,10/1/24 11:12,M1076,Soup,2,5.09
Slurpie,CAF0018085,10/1/24 11:17,M1072,Fries,1,4.24
Slushie,CAF0018085,10/1/24 11:17,M1072,Coffee,2,3.39
Slurpie,CAF0000040,10/1/24 11:20,C5011,Soda,2,2.99
Slushie,CAF0000040,10/1/24 11:20,C5011,Cookie,2,2.75
Slushie,CAF0000040,10/1/24 11:20,C5011,Burger,1,10.99
Slushie,CAF0012165,10/1/24 11:20,C8624,Hot Chocolate,2,3.99
Icee,CAF0012165,10/1/24 11:20,C8624,Pizza Slice,1,5.99
Slushie,CAF0021357,10/1/24 11:22,M1158,Breakfast Sandwich,1,6.67
Slurpie,CAF0015129,10/1/24 11:24,C9502,Burger,1,10.99
Slushie,CAF0015129,10/1/24 11:24,C9502,Pizza Slice,2,5.99
Slushie,CAF0017825,10/1/24 11:24,M1065,Soup,1,5.09
Icee,CAF0017825,10/1/24 11:24,M1065,Hot Chocolate,2,3.39
Slurpie,CAF0017825,10/1/24 11:24,M1065,Cookie,2,2.34
Icee,CAF0004115,10/1/24 11:27,C6196,Soda,2,2.99
Slurpie,CAF0004115,10/1/24 11:27,C6196,Burger,1,10.99
Icee,CAF0008185,10/1/24 11:28,C7431,Breakfast Sandwich,1,7.85
Slushie,CAF0008185,10/1/24 11:28,C7431,Fries,2,4.99
Slurpie,CAF0002872,10/1/24 11:29,C5826,Burger,2,10.99
Slushie,CAF0002872,10/1/24 11:29,C5826,Cookie,2,2.75
Icee,CAF0010204,10/1/24 11:29,C8032,Coffee,1,3.99
Icee,CAF0010204,10/1/24 11:29,C8032,Hot Chocolate,2,3.99
Slushie,CAF0023497,10/1/24 11:29,M1217,Fries,2,4.24
Icee,CAF0023497,10/1/24 11:29,M1217,Soup,2,5.09
Slushie,CAF0020277,10/1/24 11:34,M1131,Fries,1,4.24
Icee,CAF0020277,10/1/24 11:34,M1131,Soup,1,5.09
Slurpie,CAF0020277,10/1/24 11:34,M1131,Breakfast Sandwich,2,6.67
Slushie,CAF0020198,10/1/24 11:36,M1129,Soup,2,5.09
Icee,CAF0020198,10/1/24 11:36,M1129,Coffee,1,3.39
Slurpie,CAF0020198,10/1/24 11:36,M1129,Hot Chocolate,2,3.39
Slushie,CAF0015056,10/1/24 11:38,C9480,Breakfast Sandwich,2,7.85
Slurpie,CAF0015056,10/1/24 11:38,C9480,Fries,2,4.99
Slurpie,CAF0015056,10/1/24 11:38,C9480,Burger,2,10.99
Slurpie,CAF0012775,10/1/24 11:45,C8806,Soup,1,5.99
Slushie,CAF0012775,10/1/24 11:45,C8806,Cookie,1,2.75
Slurpie,CAF0006165,10/1/24 11:47,C6807,Fries,1,4.99
Slurpie,CAF0003687,10/1/24 11:48,C6078,Soda,1,2.99
Icee,CAF0004617,10/1/24 11:48,C6347,Breakfast Sandwich,1,7.85
Slurpie,CAF0004617,10/1/24 11:48,C6347,Hot Chocolate,2,3.99
Slushie,CAF0006164,10/1/24 11:49,C6807,Burger,1,10.99
Slurpie,CAF0008498,10/1/24 11:49,C7524,Breakfast Sandwich,1,7.85
Slurpie,CAF0010856,10/1/24 11:53,C8223,Soup,2,5.99
Slurpie,CAF0010856,10/1/24 11:53,C8223,Pizza Slice,2,5.99
Icee,CAF0015671,10/1/24 11:53,M1005,Soup,1,5.09
Slushie,CAF0010688,10/1/24 11:59,C8172,Soup,2,5.99
Slushie,CAF0010688,10/1/24 11:59,C8172,Soda,1,2.99
Slurpie,CAF0010688,10/1/24 11:59,C8172,Breakfast Sandwich,1,7.85
Slushie,CAF0012566,10/1/24 12:01,C8748,Coffee,1,3.99
Icee,CAF0012566,10/1/24 12:01,C8748,Pizza Slice,1,5.99
Slurpie,CAF0017685,10/1/24 12:04,M1062,Pizza Slice,1,5.09
Slurpie,CAF0013271,10/1/24 12:07,C8975,Breakfast Sandwich,2,7.85
Slushie,CAF0013271,10/1/24 12:07,C8975,Burger,2,10.99
Slushie,CAF0013271,10/1/24 12:07,C8975,Soda,1,2.99
Icee,CAF0008499,10/1/24 12:08,C7524,Coffee,1,3.99
Slurpie,CAF0008499,10/1/24 12:08,C7524,Soda,1,2.99
Slushie,CAF0008499,10/1/24 12:08,C7524,Soup,2,5.99
Slushie,CAF0010840,10/1/24 12:09,C8217,Soda,1,2.99
Slurpie,CAF0010840,10/1/24 12:09,C8217,Soup,1,5.99
Slurpie,CAF0010840,10/1/24 12:09,C8217,Hot Chocolate,1,3.99
Icee,CAF0013220,10/1/24 12:14,C8961,Soda,1,2.99
Icee,CAF0001233,10/1/24 12:18,C5333,Pizza Slice,1,5.99
Icee,CAF0001233,10/1/24 12:18,C5333,Soda,2,2.99
Slurpie,CAF0001233,10/1/24 12:18,C5333,Fries,1,4.99
Slushie,CAF0002410,10/1/24 12:19,C5684,Burger,1,10.99
Slushie,CAF0002410,10/1/24 12:19,C5684,Hot Chocolate,1,3.99
Icee,CAF0002410,10/1/24 12:19,C5684,Soda,2,2.99
Slurpie,CAF0016103,10/1/24 12:20,M1016,Pizza Slice,2,5.09
Slushie,CAF0016103,10/1/24 12:20,M1016,Burger,2,9.34
Icee,CAF0011123,10/1/24 12:23,C8296,Breakfast Sandwich,2,7.85
Slurpie,CAF0011123,10/1/24 12:23,C8296,Pizza Slice,2,5.99
Icee,CAF0011123,10/1/24 12:23,C8296,Cookie,2,2.75
Icee,CAF0018086,10/1/24 12:26,M1072,Cookie,2,2.34
Slushie,CAF0018086,10/1/24 12:26,M1072,Coffee,1,3.39
Slurpie,CAF0002871,10/1/24 12:29,C5826,Hot Chocolate,2,3.99
Slurpie,CAF0002871,10/1/24 12:29,C5826,Pizza Slice,1,5.99
Slurpie,CAF0002871,10/1/24 12:29,C5826,Burger,1,10.99
Slurpie,CAF0003384,10/1/24 12:30,C5982,Soup,1,5.99
Slurpie,CAF0018239,10/1/24 12:33,M1076,Fries,1,4.24
Icee,CAF0018239,10/1/24 12:33,M1076,Soup,1,5.09
Icee,CAF0023273,10/1/24 12:35,M1212,Cookie,1,2.34
Slurpie,CAF0023273,10/1/24 12:35,M1212,Breakfast Sandwich,1,6.67
Icee,CAF0009459,10/1/24 12:39,C7797,Soda,1,2.99
Slushie,CAF0017048,10/1/24 12:39,M1043,Burger,2,9.34
Slurpie,CAF0017048,10/1/24 12:39,M1043,Breakfast Sandwich,2,6.67
Slushie,CAF0017048,10/1/24 12:39,M1043,Coffee,2,3.39
Slushie,CAF0017485,10/1/24 12:42,M1057,Breakfast Sandwich,1,6.67
Icee,CAF0017485,10/1/24 12:42,M1057,Fries,1,4.24
Slushie,CAF0017485,10/1/24 12:42,M1057,Soda,1,2.54
Slushie,CAF0017684,10/1/24 12:45,M1062,Soup,2,5.09
Icee,CAF0001018,10/1/24 12:50,C5273,Burger,2,10.99
Icee,CAF0007375,10/1/24 12:53,C7171,Soup,1,5.99
Slushie,CAF0007375,10/1/24 12:53,C7171,Cookie,2,2.75
Slushie,CAF0002236,10/1/24 12:55,C5630,Coffee,1,3.99
Slurpie,CAF0006667,10/1/24 13:03,C6959,Burger,1,10.99
Slurpie,CAF0006667,10/1/24 13:03,C6959,Fries,1,4.99
Slushie,CAF0003686,10/1/24 13:05,C6078,Fries,2,4.99
Icee,CAF0010533,10/1/24 13:12,C8130,Burger,2,10.99
Slurpie,CAF0004116,10/1/24 13:14,C6196,Soda,1,2.99
Slushie,CAF0004116,10/1/24 13:14,C6196,Coffee,1,3.99
Slurpie,CAF0004116,10/1/24 13:14,C6196,Fries,2,4.99
Slushie,CAF0022159,10/1/24 13:23,M1183,Soda,2,2.54
Slushie,CAF0004240,10/1/24 13:27,C6233,Soda,2,2.99
Slushie,CAF0004648,10/1/24 13:27,C6356,Soup,2,5.99
Slurpie,CAF0004648,10/1/24 13:27,C6356,Fries,1,4.99
Icee,CAF0004648,10/1/24 13:27,C6356,Burger,2,10.99
Icee,CAF0004647,10/1/24 13:32,C6356,Fries,1,4.99
Slushie,CAF0004647,10/1/24 13:32,C6356,Soda,2,2.99
Slurpie,CAF0004647,10/1/24 13:32,C6356,Pizza Slice,1,5.99
Icee,CAF0006126,10/1/24 13:41,C6799,Burger,1,10.99
Slushie,CAF0010205,10/1/24 13:47,C8032,Fries,1,4.99
Slurpie,CAF0001017,10/1/24 13:51,C5273,Cookie,2,2.75
Icee,CAF0001017,10/1/24 13:51,C5273,Coffee,2,3.99
Slurpie,CAF0001017,10/1/24 13:51,C5273,Burger,1,10.99
Icee,CAF0007504,10/1/24 14:17,C7212,Fries,2,4.99
Slushie,CAF0007504,10/1/24 14:17,C7212,Soda,1,2.99
Slurpie,CAF0007504,10/1/24 14:17,C7212,Burger,1,10.99
Icee,CAF0009660,10/1/24 16:14,C7861,Soup,1,5.99
Icee,CAF0009660,10/1/24 16:14,C7861,Burger,2,10.99
Slurpie,CAF0006047,10/2/24 7:03,C6773,Burger,2,10.99
Slurpie,CAF0002269,10/2/24 7:33,C5638,Breakfast Sandwich,1,7.85
Icee,CAF0002269,10/2/24 7:33,C5638,Fries,1,4.99
Slushie,CAF0002269,10/2/24 7:33,C5638,Soup,2,5.99
Icee,CAF0019346,10/2/24 7:42,M1105,Soda,1,2.54
Slushie,CAF0019346,10/2/24 7:42,M1105,Coffee,1,3.39
Slushie,CAF0019346,10/2/24 7:42,M1105,Pizza Slice,1,5.09
Slushie,CAF0018130,10/2/24 7:49,M1074,Cookie,2,2.34
Slushie,CAF0002270,10/2/24 8:02,C5638,Cookie,1,2.75
Slurpie,CAF0004502,10/2/24 8:20,C6310,Burger,2,10.99
Slushie,CAF0004502,10/2/24 8:20,C6310,Coffee,1,3.99
Icee,CAF0004502,10/2/24 8:20,C6310,Hot Chocolate,2,3.99
Icee,CAF0004292,10/2/24 8:39,C6244,Hot Chocolate,1,3.99
Slushie,CAF0004292,10/2/24 8:39,C6244,Burger,1,10.99
Icee,CAF0004292,10/2/24 8:39,C6244,Breakfast Sandwich,2,7.85
Icee,CAF0006046,10/2/24 8:47,C6773,Soup,2,5.99
Icee,CAF0013414,10/2/24 8:55,C9011,Cookie,2,2.75
Icee,CAF0013414,10/2/24 8:55,C9011,Burger,2,10.99
Slurpie,CAF0013414,10/2/24 8:55,C9011,Breakfast Sandwich,1,7.85
Slurpie,CAF0013369,10/2/24 9:08,C8998,Soda,2,2.99
Slurpie,CAF0023599,10/2/24 9:10,M1219,Breakfast Sandwich,1,6.67
Slurpie,CAF0012892,10/2/24 9:29,C8847,Pizza Slice,2,5.99
Slushie,CAF0012892,10/2/24 9:29,C8847,Cookie,2,2.75
Slushie,CAF0013958,10/2/24 9:38,C9157,Burger,1,10.99
Slushie,CAF0013958,10/2/24 9:38,C9157,Soda,1,2.99
Icee,CAF0004627,10/2/24 9:51,C6350,Cookie,1,2.75
Slurpie,CAF0004627,10/2/24 9:51,C6350,Pizza Slice,1,5.99
Slurpie,CAF0001983,10/2/24 9:58,C5550,Breakfast Sandwich,2,7.85
Slurpie,CAF0001983,10/2/24 9:58,C5550,Soda,1,2.99
Slurpie,CAF0019345,10/2/24 10:05,M1105,Breakfast Sandwich,2,6.67
Slurpie,CAF0019345,10/2/24 10:05,M1105,Cookie,2,2.34
Icee,CAF0019345,10/2/24 10:05,M1105,Hot Chocolate,2,3.39
Icee,CAF0019547,10/2/24 10:08,M1112,Hot Chocolate,2,3.39
Slurpie,CAF0019547,10/2/24 10:08,M1112,Coffee,1,3.39
Icee,CAF0019547,10/2/24 10:08,M1112,Cookie,2,2.34
Slurpie,CAF0016140,10/2/24 10:15,M1017,Fries,2,4.24
Slushie,CAF0016140,10/2/24 10:15,M1017,Soup,1,5.09
Slushie,CAF0016140,10/2/24 10:15,M1017,Hot Chocolate,1,3.39
Icee,CAF0005049,10/2/24 10:18,C6483,Breakfast Sandwich,2,7.85
Icee,CAF0005049,10/2/24 10:18,C6483,Fries,1,4.99
Icee,CAF0003767,10/2/24 10:22,C6098,Hot Chocolate,2,3.99
Slurpie,CAF0018129,10/2/24 10:27,M1074,Fries,2,4.24
Slurpie,CAF0019764,10/2/24 10:27,M1118,Coffee,1,3.39
Icee,CAF0019764,10/2/24 10:27,M1118,Soda,1,2.54
Slushie,CAF0019764,10/2/24 10:27,M1118,Soup,2,5.09
Slurpie,CAF0021687,10/2/24 10:33,M1168,Coffee,2,3.39
Slurpie,CAF0021687,10/2/24 10:33,M1168,Fries,2,4.24
Slushie,CAF0021687,10/2/24 10:33,M1168,Pizza Slice,1,5.09
Slushie,CAF0012891,10/2/24 10:37,C8847,Breakfast Sandwich,1,7.85
Slurpie,CAF0022701,10/2/24 10:41,M1199,Burger,2,9.34
Slurpie,CAF0012912,10/2/24 10:46,C8852,Pizza Slice,1,5.99
Icee,CAF0012912,10/2/24 10:46,C8852,Cookie,1,2.75
Icee,CAF0006867,10/2/24 10:47,C7016,Fries,2,4.99
Slurpie,CAF0013368,10/2/24 10:50,C8998,Soup,2,5.99
Slurpie,CAF0013368,10/2/24 10:50,C8998,Burger,2,10.99
Slushie,CAF0013368,10/2/24 10:50,C8998,Soda,2,2.99
Icee,CAF0009743,10/2/24 10:52,C7886,Cookie,2,2.75
Slushie,CAF0009743,10/2/24 10:52,C7886,Soda,1,2.99
Icee,CAF0009743,10/2/24 10:52,C7886,Burger,2,10.99
Icee,CAF0016746,10/2/24 10:53,M1036,Hot Chocolate,2,3.39
Slushie,CAF0016746,10/2/24 10:53,M1036,Coffee,1,3.39
Slushie,CAF0019894,10/2/24 10:57,M1121,Coffee,2,3.39
Icee,CAF0019894,10/2/24 10:57,M1121,Soda,2,2.54
Slurpie,CAF0006866,10/2/24 11:18,C7016,Pizza Slice,2,5.99
Icee,CAF0006612,10/2/24 11:21,C6945,Pizza Slice,2,5.99
Slushie,CAF0006612,10/2/24 11:21,C6945,Soda,2,2.99
Slushie,CAF0006612,10/2/24 11:21,C6945,Burger,2,10.99
Slurpie,CAF0011212,10/2/24 11:23,C8329,Burger,2,10.99
Slurpie,CAF0011212,10/2/24 11:23,C8329,Soup,2,5.99
Slushie,CAF0015021,10/2/24 11:24,C9471,Fries,1,4.99
Slushie,CAF0015021,10/2/24 11:24,C9471,Burger,2,10.99
Slushie,CAF0004083,10/2/24 11:28,C6190,Fries,2,4.99
Slurpie,CAF0008269,10/2/24 11:29,C7456,Fries,2,4.99
Slurpie,CAF0008269,10/2/24 11:29,C7456,Soup,2,5.99
Slushie,CAF0004501,10/2/24 11:32,C6310,Pizza Slice,1,5.99
Slushie,CAF0016139,10/2/24 11:36,M1017,Cookie,2,2.34
Icee,CAF0016139,10/2/24 11:36,M1017,Soda,2,2.54
Slushie,CAF0016139,10/2/24 11:36,M1017,Coffee,1,3.39
Slurpie,CAF0004084,10/2/24 11:44,C6190,Breakfast Sandwich,2,7.85
Icee,CAF0004084,10/2/24 11:44,C6190,Cookie,2,2.75
Icee,CAF0013098,10/2/24 11:47,C8914,Fries,1,4.99
Slushie,CAF0013098,10/2/24 11:47,C8914,Coffee,2,3.99
Slushie,CAF0003768,10/2/24 11:48,C6098,Breakfast Sandwich,2,7.85
Icee,CAF0003768,10/2/24 11:48,C6098,Cookie,1,2.75
Icee,CAF0016246,10/2/24 11:49,M1020,Hot Chocolate,2,3.39
Slushie,CAF0016246,10/2/24 11:49,M1020,Soup,2,5.09
Slushie,CAF0011077,10/2/24 11:51,C8283,Hot Chocolate,2,3.99
Icee,CAF0011077,10/2/24 11:51,C8283,Breakfast Sandwich,1,7.85
Slushie,CAF0011077,10/2/24 11:51,C8283,Pizza Slice,1,5.99
Slushie,CAF0023545,10/2/24 11:57,M1218,Hot Chocolate,2,3.39
Icee,CAF0020328,10/2/24 12:08,M1132,Pizza Slice,2,5.09
Slurpie,CAF0020328,10/2/24 12:08,M1132,Cookie,2,2.34
Icee,CAF0021688,10/2/24 12:28,M1168,Pizza Slice,2,5.09
Slushie,CAF0005211,10/2/24 12:35,C6535,Soup,2,5.99
Slurpie,CAF0012554,10/2/24 12:38,C8744,Soup,2,5.99
